call_number,item_number,level,title,object_number,priref,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,subjects,people
ON 160/Item 0961,0961,ITEM,"Item 0961: Tribune negatives including anti-budget protests and public sector workers meetings, August 1986",1055263,110370625,August 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,29 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370625,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,meetings|public servants|demonstrations|pensioners,
ON 160/Item 0962,0962,ITEM,"Item 0962: Tribune negatives including anti-apartheid protest, Melbourne, Victoria and Hiroshima Day march, Sydney, New South Wales, August 1986",1055264,110370626,August 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370626,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|apartheid|Antinuclear movement--Australia.,
ON 160/Item 0963,0963,ITEM,"Item 0963: Tribune negatives including Sri Lankan protests and monorail construction, May-August 1986",1055265,110370627,May-August 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370627,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|construction sites,
ON 160/Item 0964,0964,ITEM,"Item 0964: Tribune negatives including peace vigil and Hiroshima Day protests, Manly, New South Wales, July-August 1986",1055305,110370650,July-August 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370650,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|peace movement|Antinuclear movement.,
ON 160/Item 0965,0965,ITEM,"Item 0965: Tribune negatives including land rights protest at Australian Labor Party conference, Hobart, Tasmania and Simon Crean, August 1986",1055306,110370651,August 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,39 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370651,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,conventions|demonstrations|land rights|Aboriginal peoples (Australians)|politicians|Land tenure--Australia.,
ON 160/Item 0966,0966,ITEM,"Item 0966: Tribune negatives including South African Women's Day protest, August 1986",1055309,110370654,August 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370654,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,women|demonstrations,
ON 160/Item 0967,0967,ITEM,"Item 0967: Tribune negatives including Hiroshima Day protests and concert, Melbourne, Victoria and Brisbane, Queensland, August 1986",1055310,110370655,August 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,45 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370655,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|concerts|Antinuclear movement--Australia.,
ON 160/Item 0968,0968,ITEM,"Item 0968: Tribune negatives including Special Broadcasting Service protest, Sydney Opera House, New South Wales and Burchett book launch, August-September 1986",1055312,110370657,August-September 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370657,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,demonstrations|book launches|authors,
ON 160/Item 0969,0969,ITEM,"Item 0969: Tribune negatives including education funding protests, Sydney, New South Wales and Victoria, September 1986",1055313,110370658,September 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370658,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,education|demonstrations,
ON 160/Item 0970,0970,ITEM,"Item 0970: Tribune negatives including McGehee, Juliette Sison and Peter Hayes, September 1986",1055321,110370660,September 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370660,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,portraits,
ON 160/Item 0971,0971,ITEM,"Item 0971: Tribune negatives including anti-budget student protests, Canberra, Australian Capital Territory, September 1986",1055322,110370661,September 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370661,http://archival.sl.nsw.gov.au/Details/archive/110369629,0,,students|demonstrations,
